_id,OBJECTID,ROAD_TYPE,SIDEWALK_CODE,SIDEWALK_DESCRIPTION,CROSSWALK,CROSSWALK_TYPE,PX,PX_TYPE,LENGTH,geometry
31,31,Trail,13,Not applicable,, , , ,101.80575179,"{""coordinates"": [[[-79.5873901105632, 43.7280256683577], [-79.5863387529763, 43.7285340651365]]], ""type"": ""MultiLineString""}"
32,32,Local,3,No sidewalk on either side,, , , ,62.23453568,"{""coordinates"": [[[-79.336260866244, 43.7501377775262], [-79.3357868127382, 43.7505802085849]]], ""type"": ""MultiLineString""}"
33,33,Trail,13,Not applicable,, , , ,100.74427978,"{""coordinates"": [[[-79.3644416769101, 43.6799854217329], [-79.3635871950782, 43.6793238258081]]], ""type"": ""MultiLineString""}"
34,34,Local,3,No sidewalk on either side,, , , ,72.24136999,"{""coordinates"": [[[-79.3195528001862, 43.7482536385924], [-79.319294779257, 43.7476308516339]]], ""type"": ""MultiLineString""}"
35,35,Trail,13,Not applicable,, , , ,166.08521823,"{""coordinates"": [[[-79.3580596775849, 43.6700922175173], [-79.3573269491966, 43.6686950640555]]], ""type"": ""MultiLineString""}"
36,36,Trail,13,Not applicable,, , , ,52.72866495,"{""coordinates"": [[[-79.3252551041665, 43.7022557068436], [-79.32497801106, 43.7018257779385]]], ""type"": ""MultiLineString""}"
37,37,Local,7,Sidewalk on both sides,, , , ,96.53736015,"{""coordinates"": [[[-79.2884878694776, 43.7043964589261], [-79.2873379840927, 43.704639898111]]], ""type"": ""MultiLineString""}"
38,38,Trail,13,Not applicable,, , , ,56.56289265,"{""coordinates"": [[[-79.2980092927, 43.6969943675611], [-79.297307681671, 43.6969851864651]]], ""type"": ""MultiLineString""}"
39,39,Trail,13,Not applicable,, , , ,92.01245088,"{""coordinates"": [[[-79.3103967561569, 43.6993562078226], [-79.3092950151626, 43.6991392713997]]], ""type"": ""MultiLineString""}"
40,40,Trail,13,Not applicable,, , , ,101.99890522,"{""coordinates"": [[[-79.5423685090768, 43.7222158523141], [-79.5414085805411, 43.7228143909791]]], ""type"": ""MultiLineString""}"
41,41,Trail,13,Not applicable,, , , ,71.34729039,"{""coordinates"": [[[-79.2811554636185, 43.8258655193627], [-79.2803102014051, 43.8260602922465]]], ""type"": ""MultiLineString""}"
42,42,Collector,7,Sidewalk on both sides,, , , ,119.98224348,"{""coordinates"": [[[-79.3250917396936, 43.7419515278193], [-79.3245741302405, 43.740938835936]]], ""type"": ""MultiLineString""}"
43,43,Collector,7,Sidewalk on both sides,, , , ,205.36705285,"{""coordinates"": [[[-79.5020520288115, 43.6643053491413], [-79.5005062929747, 43.6628365006976]]], ""type"": ""MultiLineString""}"
44,44,Local,3,No sidewalk on either side,, , , ,111.05400491,"{""coordinates"": [[[-79.5393732674076, 43.7450890926407], [-79.5391610039227, 43.7441013905312]]], ""type"": ""MultiLineString""}"
45,45,Collector,7,Sidewalk on both sides,, , , ,50.79832307,"{""coordinates"": [[[-79.2852568957317, 43.7686044251658], [-79.2846593320132, 43.7687511991218]]], ""type"": ""MultiLineString""}"
46,46,Trail,13,Not applicable,, , , ,89.84050693,"{""coordinates"": [[[-79.3067740301835, 43.8045225741095], [-79.3063396133066, 43.8052675001791]]], ""type"": ""MultiLineString""}"
47,47,Trail,13,Not applicable,, , , ,22.13613156,"{""coordinates"": [[[-79.3278227377024, 43.8100194197929], [-79.3276557392761, 43.8101777675924]]], ""type"": ""MultiLineString""}"
48,48,Trail,13,Not applicable,, , , ,49.92985061,"{""coordinates"": [[[-79.3280450727408, 43.8105277589892], [-79.3276557392761, 43.8101777675924]]], ""type"": ""MultiLineString""}"
49,49,Trail,13,Not applicable,, , , ,74.92253095,"{""coordinates"": [[[-79.3289165309408, 43.8107655258901], [-79.3280450727408, 43.8105277589892]]], ""type"": ""MultiLineString""}"
50,50,Trail,13,Not applicable,, , , ,37.88158293,"{""coordinates"": [[[-79.3461614276731, 43.65015610216], [-79.3458144547265, 43.649926334047]]], ""type"": ""MultiLineString""}"
51,51,Other,3,No sidewalk on either side,, , , ,41.12961177,"{""coordinates"": [[[-79.4774380730498, 43.7515429128033], [-79.4771659505667, 43.7518561545693]]], ""type"": ""MultiLineString""}"
52,52,Other,2,Sidewalk on north side only,, , , ,5.74161763,"{""coordinates"": [[[-79.3666097929908, 43.7771758805756], [-79.3665439333063, 43.777195732261]]], ""type"": ""MultiLineString""}"
53,53,Walkway,11,City walkway,, , , ,78.39285618,"{""coordinates"": [[[-79.2473067878489, 43.7677284004373], [-79.2464457928625, 43.7680579077721]]], ""type"": ""MultiLineString""}"
54,54,Walkway,11,City walkway,1,ts,2406,ts,28.93125435,"{""coordinates"": [[[-79.3023571860886, 43.8188825114538], [-79.3020134669583, 43.8189591459013]]], ""type"": ""MultiLineString""}"
55,55,Walkway,11,City walkway,1,ns, , ,14.66510035,"{""coordinates"": [[[-79.4088023965871, 43.6440169671967], [-79.408624409796, 43.644043829179]]], ""type"": ""MultiLineString""}"
56,56,Walkway,11,City walkway,1,ts,2276,ts,19.25062793,"{""coordinates"": [[[-79.2914008374495, 43.8125616497381], [-79.2911726883318, 43.8126139165445]]], ""type"": ""MultiLineString""}"
